Activity,Sectors,DistinctProjects
,Transportation,1
 Academic quality improvement,Education,1
 Access road construction,Energy & Extractives,1
 Access to finance,"Industry, Trade & Services",2
 Accessibility improvements,Transportation,1
 Accessibility upgrades,Transportation,1
 Access-to-finance reforms,Financial Sector,1
 Accreditation services,"Industry, Trade & Services",1
 Accreditation support,Education,1
 Action plan development,Public Administration,1
 Administrative streamlining,Financial Sector,1
 Adolescent nutrition supplementation,Public Administration,1
 Adolescent SRH services,Health,1
 Advanced skills training,Information & Communications Technologies,1
 Advisory services,Public Administration,1
 AEFI monitoring,Health,1
 Affordable credit access,Social Protection,1
 Affordable loans,Public Administration,1
 Affordable mortgage financing,"Industry, Trade & Services",1
 Afforestation and reforestation,Public Administration,1
 Aggregator support,"Industry, Trade & Services",1
 Agribusiness financing,"Industry, Trade & Services",1
 Agribusiness support,"Industry, Trade & Services",1
 Agricultural advisory services,Public Administration,1
 Agricultural asset distribution,"Industry, Trade & Services",2
 Agricultural asset provision,"Water, Sanitation & Waste Management",1
 Agricultural extension,"Agriculture, Fishing & Forestry",1
 Agricultural input distribution,Public Administration,1
 Agricultural inputs distribution,"Industry, Trade & Services",1
 Agricultural insurance,"Industry, Trade & Services",1
 Agricultural lending,Financial Sector,1
 Agricultural services delivery,"Industry, Trade & Services",1
 Agricultural technology adoption,"Industry, Trade & Services",1
 Agricultural technology dissemination,"Water, Sanitation & Waste Management",1
 Agro-advisory services,"Water, Sanitation & Waste Management",1
 Agro-processor support,"Industry, Trade & Services",1
 Air quality management,Transportation,1
 Ambulance procurement,Health,1
 Anemia testing,Health,1
 Animal health services,"Industry, Trade & Services",1
 Antenatal care services,Health,1
 Anti-corruption reform,Public Administration,1
 Anti-corruption reforms,Public Administration,1
 Application development,"Water, Sanitation & Waste Management",1
 Application processing,Social Protection,1
 Application rollout,Health,1
 Apprenticeship programs,Education,1
 Apprenticeship training,Public Administration,1
 Aquaculture development,Public Administration,1
 Arrears clearance,Transportation,1
 Assessor training,Education,1
 Asset legal documentation,Public Administration,1
 Asset management,Transportation,1
 Asset management implementation,"Water, Sanitation & Waste Management",1
 Asset management improvement,Transportation,1
 Asset management setup,"Water, Sanitation & Waste Management",1
 Asset management strengthening,Transportation,1
 Asset management systems,"Water, Sanitation & Waste Management",1
 Asset provision,"Industry, Trade & Services",1
 Asset transfer grants,Social Protection,1
 At-risk student support,Education,1
 Attendance monitoring,Education,1
 Audit system deployment,Public Administration,1
 Awareness campaigns,Financial Sector,1
 Awareness campaigns,Health,1
 Backlog clearance,Public Administration,1
 Backyard garden support,Public Administration,1
 Balance sheet preparation,Public Administration,1
 Bank account consolidation,Public Administration,1
 Bank resolution planning,Transportation,1
 Barley procurement,"Agriculture, Fishing & Forestry",1
 Basic services improvement,Public Administration,1
 Battery storage installation,Energy & Extractives,1
 Battery storage pilot,Energy & Extractives,1
 Behavior change campaigns,"Water, Sanitation & Waste Management",1
 Behavior change communication,Social Protection,1
 Beneficial ownership reporting,Public Administration,1
 Beneficiary communication,Social Protection,1
 Beneficiary data migration,Social Protection,1
 Beneficiary enrollment,Social Protection,1
 Beneficiary feedback surveys,Information & Communications Technologies,1
 Beneficiary feedback surveys,Social Protection,1
 Beneficiary identification,Social Protection,1
 Beneficiary outreach,Social Protection,2
 Beneficiary recertification,Social Protection,1
 Beneficiary registration,Social Protection,1
 Beneficiary satisfaction monitoring,Social Protection,1
 Beneficiary satisfaction surveys,Social Protection,1
 Beneficiary targeting,Social Protection,1
 Beneficiary targeting,"Water, Sanitation & Waste Management",1
 Beneficiary targeting verification,"Industry, Trade & Services",1
 Bicycle infrastructure,Public Administration,1
 Bikeshare expansion,Transportation,1
 Billing system implementation,Public Administration,1
 Bioengineering works,Transportation,1
 Biomedical waste management,Health,1
 Birth registration outreach,Social Protection,1
 Board gender diversity,"Water, Sanitation & Waste Management",1
 Boiler efficiency upgrades,Energy & Extractives,1
 Border agency coordination,Transportation,1
 Border control strengthening,Health,1
 Bread supply support,"Agriculture, Fishing & Forestry",1
 Breast cancer screening,Health,1
 Bridge construction,Transportation,1
 Bridge rehabilitation,Transportation,1
 Bridge upgrading,Transportation,1
 Broadband affordability measures,Information & Communications Technologies,1
 Broadband expansion,Public Administration,1
 Broadband network expansion,Information & Communications Technologies,1
 BRT service improvement,Transportation,1
 Budget digitization,Public Administration,1
 Budget execution strengthening,Public Administration,1
 Budget management improvement,"Water, Sanitation & Waste Management",1
 Budget monitoring systems,Public Administration,1
 Budget planning support,Transportation,1
 Budget program restructuring,Public Administration,1
 Budget reporting streamlining,Public Administration,1
 Budget support,Public Administration,1
 Budget transparency measures,Public Administration,1
 Budget transparency publishing,Public Administration,1
 Budget transparency reforms,Transportation,1
 Building certification,Energy & Extractives,1
 Building code reform,Public Administration,1
 Building code strengthening,Energy & Extractives,1
 Building energy retrofits,Transportation,1
 Building rehabilitation,Education,1
 Building renovation,Energy & Extractives,1
 Building retrofitting,Education,1
 Building strengthening,Public Administration,1
 Business acceleration,"Industry, Trade & Services",1
 Business adaptation support,Financial Sector,1
 Business advisory services,Public Administration,1
 Business advisory services,Transportation,1
 Business continuity support,Financial Sector,1
 Business creation support,"Industry, Trade & Services",1
 Business development services,"Water, Sanitation & Waste Management",1
 Business digitization,"Industry, Trade & Services",1
 Business environment reform,Public Administration,1
 Business grants,Social Protection,1
